评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
For what it's worth ...,Garbage - falls apart after a wash,https://www.amazon.com/gp/customer-reviews/R46THZ6V7F6TI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"1.0 "," the United States "," December 30, 2024",Size: MediumColor: 2 Green,Verified Purchase,See headline!,
Krae,Cheap made shirt,https://www.amazon.com/gp/customer-reviews/R1XGFCAX83CTKE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"1.0 "," the United States "," December 27, 2024",Size: XX-LargeColor: 1 Red,Verified Purchase,Fabric quality was very thin and see-through. Not sure if it would last more than a few washes. I returned it right after I took it out of the packaging.,
Deb,Fits as described,https://www.amazon.com/gp/customer-reviews/R1TSMKA89SROHL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"4.0 "," the United States "," December 22, 2024",Size: X-LargeColor: 1 Red,Verified Purchase,"I like the top well enough for the price, but the fabric doesn't look like it is going to hold up very long.  Also, the band on the bottom was sewn on so the front bottom edge is hanging out.  Not a good look or a good choice.",
Heather Black,Perfect Sweater,https://www.amazon.com/gp/customer-reviews/R835ZO9QD0IZ7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," December 17, 2024",Size: MediumColor: 2 Green,Verified Purchase,"This is the best sweater I have ever purchased. You can dress it up, or go casual with it. Its light, but not too light that it wont keep you warm. Im going to order in every color!",
Jen Isakson,Cute as can be,https://www.amazon.com/gp/customer-reviews/R2STBS7Q4RNMAE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," December 17, 2024",Size: X-LargeColor: 9 Rose Red,Verified Purchase,This shirt is cute as can be and flattering.  I had so many compliments wearing it.  I would buy it over several times over.,
Cheryl B,Nice,https://www.amazon.com/gp/customer-reviews/RI6T0VR0HVZVF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," December 15, 2024",Size: LargeColor: 6 Khaki,Verified Purchase,"Nice throw on tops for leggings or jeans. I actually wound up picking up 2 more. So far, they seem to wash and dry well.",
kylee white,"Love it, but..",https://www.amazon.com/gp/customer-reviews/R3MEC97TXPJCUL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"4.0 "," the United States "," December 14, 2024",Size: MediumColor: 6 Khaki,Verified Purchase,"Love it, it’s super soft and fits how I want.. I sized up for a more relaxed oversized look. My only gripe is it’s definitely thin so have to be careful what color bra I wear because even the color I got in the right light shows my bra color. I still wear it and love it though but glad I sized up, think it helps with the thinness",
Brenda D,Nice Shirt,https://www.amazon.com/gp/customer-reviews/R3H8UR91LHRHIF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," December 13, 2024",Size: MediumColor: 5 White,Verified Purchase,I am 5’6 and 145lbs. I bought a Med. It is still roomy but I’m ok with that. I like the material and it is long enough to wear with leggings.,7
Cecilia,Super comfortable,https://www.amazon.com/gp/customer-reviews/R39EGARCV74P28/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," December 11, 2024",Size: LargeColor: 2 Green,Verified Purchase,"I absolutely love this shirt! Loose without being overly big, comfortable and cute.",
MA,Very thin,https://www.amazon.com/gp/customer-reviews/R1OI905FVJVJCK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"1.0 "," the United States "," December 10, 2024",Size: XX-LargeColor: 8 Chicory Coffee,Verified Purchase,It was kind of see through.  Not a sweater top at all.  I returned it,
