评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Gigi and Pop Pop.,Soft,https://www.amazon.com/gp/customer-reviews/R1TSZ56LQJ377P/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7MHK9R6,"5.0 "," the United States "," January 17, 2025",Color: BurgundySize: X-Large,Verified Purchase,The color is a pretty Merlot and it’s soft as well as textured. Love.,
Kim,Pretty sweater,https://www.amazon.com/gp/customer-reviews/R12PAH0OLSQA3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7MHK9R6,"5.0 "," the United States "," January 17, 2025",Color: A Smoke GraySize: Large,Verified Purchase,"I love the color, texture and fit of this sweater. The sleeves are knit in a way that there are openings (see pic), it gives a delicate feminine feel to the sweater. It is a nice weight, drapes/fits nicely on the body. Doesn’t cling but isn’t baggy. It is soft, didn’t get any pulls, and washed nicely. It is of good quality.",
LisaE,Not bright White,https://www.amazon.com/gp/customer-reviews/R2O7Y4MC1FC8XL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7MHK9R6,"1.0 "," the United States "," January 13, 2025",Color: WhiteSize: Large,Verified Purchase,This shows as bright White but it's cream. Disappointed 😔,
Elizabeth S.,Runs large,https://www.amazon.com/gp/customer-reviews/R26XMNZ8NNJMKL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7MHK9R6,"4.0 "," the United States "," January 13, 2025",Color: WhiteSize: X-Large,Verified Purchase,"Soft, lightweight, nice shaping but runs large. Do not order up.",
Amazon Customer,So soft,https://www.amazon.com/gp/customer-reviews/R1Y9PIS2VSW4I1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7MHK9R6,"5.0 "," the United States "," January 13, 2025",Color: WhiteSize: Large,Verified Purchase,I love this sweater and the sleeves are so cute.  The material is super soft and feels great.,
jeannette,Item I baught,https://www.amazon.com/gp/customer-reviews/R22PX6B1YA2FYX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7MHK9R6,"1.0 "," the United States "," January 13, 2025",Color: Light GreySize: X-Large,Verified Purchase,I dislike that the fabric catches easily and it looks awful,
Erin Genc,The best!,https://www.amazon.com/gp/customer-reviews/R3PZ1XINTXEEPU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7MHK9R6,"5.0 "," the United States "," January 10, 2025",Color: BurgundySize: Medium,Verified Purchase,This is so soft and cozy and flattering!,
Erica Harbison,Cute but pills within a day,https://www.amazon.com/gp/customer-reviews/R2RH5JF6077CDP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7MHK9R6,"2.0 "," the United States "," January 7, 2025",Color: A Smoke GraySize: Large,,"I was so excited for this lightweight sweater - great fit, color, and texture. BUT it started to pill over the chest area within a day of wear. This material is not meant to last. Returned it.",
Natalie,"Exactly as picture. Beautiful, soft, lightweight and true to size.",https://www.amazon.com/gp/customer-reviews/R2UCX8GL8SWBS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7MHK9R6,"5.0 "," the United States "," January 6, 2025",Color: BurgundySize: X-Large,Verified Purchase,"I just got it delivered. I got burgundy in XL. . For reference: I am 5.7 tall, around 200 lb and XL and it's just prefect. Looks exactly as pictured. The material is soft, lightweight and runs true to size. It's not oversized sweater. Planning to order at least in one more color. Great product. Happy with a purchase. Recommend it. I will add my pictures later.",
Jane,So soft,https://www.amazon.com/gp/customer-reviews/R9RSYZ7LV9C7R/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7MHK9R6,"5.0 "," the United States "," January 5, 2025",Color: BurgundySize: Medium,Verified Purchase,True to size.  Love how soft it is.  It washes well,
reader78,Sleeves,https://www.amazon.com/gp/customer-reviews/R2G80AM2RVTCEM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7MHK9R6,"4.0 "," the United States "," January 2, 2025",Color: Blackish GreenSize: Large,Verified Purchase,"Overall, a good sweater. The sleeves are weird. The knit pattern has holes that you can easily see through. Like bug enough to put my pinky through.  So if it is cold, you will need to have a shirt under it.",
Sarah C,Soft and cozy,https://www.amazon.com/gp/customer-reviews/R1YUCMA402Y7K0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7MHK9R6,"5.0 "," the United States "," January 1, 2025",Color: A Smoke GraySize: Large,Verified Purchase,"The colors are beautiful. I ordered it in two colors. Very pretty and stylish. Also, it is soft and cozy.",
Nicole Walter,I want all the colors!!,https://www.amazon.com/gp/customer-reviews/RY15DZGPQWZ71/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7MHK9R6,"5.0 "," the United States "," December 31, 2024",Color: ParchmentSize: X-Large,,"Extremely soft, perfect fit, adorable!! When I say soft, like butter or your favorite blanket. I normally wear an XL and like my clothes loose fitting, it fits perfectly as expected. The details are so cute and parchment color is subtle and nice. It's not super heavy or hot which I appreciate. Will be ordering more! Hope it holds up after washing.",
G. Grisham,So soft & comfortable,https://www.amazon.com/gp/customer-reviews/R3NV6ZH2MGK1TK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7MHK9R6,"5.0 "," the United States "," December 28, 2024",Color: ParchmentSize: XX-Large,Verified Purchase,"Purchased for family Christmas party.  Was not hot while running around cooking, games and cleanup.  Highly recommend.  Very soft and nice coverage over belly and bum.  5’8” XXL.  220lbs. Recommend washing on delicate stand alone to avoid piles and air dry.",
DJ,Comfy sweater,https://www.amazon.com/gp/customer-reviews/RC0J6D64C4062/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7MHK9R6,"4.0 "," the United States "," December 25, 2024",Color: Light GreySize: Large,Verified Purchase,The fabric seemed like it would snag a little bit but otherwise it's super comfy and fits great. It seems like the right weight where you won't get too hot in a warmer office.,
YOGESWAR REDDY,The sweaters are smaller than the mentioned size,https://www.amazon.com/gp/customer-reviews/R1D45GPQIUR8F3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7MHK9R6,"3.0 "," the United States "," December 24, 2024",Color: Blackish GreenSize: Small,Verified Purchase,"I usually order the small size and after seeing the measurements in the size chart, ordered small. When tried after receiving the product, it runs as tight fitted Otherwise, the color and the texture of the sweater is good Will return the item",
