评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Lisa A. O’Connell,"So many compliments, it’s a beautiful shirt",https://www.amazon.com/gp/customer-reviews/R168ABDJIOET5A/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," March 29, 2023",Size: 20Color: White,Verified Purchase,"So many compliments, it’s a beautiful shirt. It was a little short so I couldn’t tuck it in but still made it work.",2
KALINDRA,Esta bien bonita mi blusitaaa!!!,https://www.amazon.com/gp/customer-reviews/R1YNTXI51BWYQF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," March 28, 2023",Size: 16Color: White,Verified Purchase,"Es divina,  me hace sentir que vengo de otra epoca  :D",
Jessica,Missing 3 buttons,https://www.amazon.com/gp/customer-reviews/R3KIU4PKX13E4X/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"2.0 "," the United States "," March 28, 2023",Size: 10Color: Spread Collar White,Verified Purchase,"Fabric quality great love the fit and cut, so disappointing to be missing three buttons. Would have even been fine sewing them back on but they weren’t in the packaging either.",
Quanosha Champion,Cute blouse,https://www.amazon.com/gp/customer-reviews/R2DCGRATNM7XOD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," March 20, 2023",Size: 18Color: White,Verified Purchase,"I ordered a size up, it’s spectacular! I wanted it to be spacious so I could tuck it into a skirt or pants. The entire design is beautiful. I wish it came in Lavender!",
K. Kraft,"cheap, will return",https://www.amazon.com/gp/customer-reviews/R2B9INJKHND956/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"2.0 "," the United States "," March 9, 2023",Size: 14Color: Spread Collar Black,Verified Purchase,I don't love it at all. It's cute enough but you can tell it's cheap and the buttons are barely hanging on and bulky. Tight in the shoulders so when I lift my hands up the shirt comes untucked.,
Teresa garcia,Beautiful 😍,https://www.amazon.com/gp/customer-reviews/RAYBBFKAWU28A/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," February 27, 2023",Size: 14Color: White,Verified Purchase,,2
Jewell,CREAM Not White,https://www.amazon.com/gp/customer-reviews/R14RCTV1F44D1Y/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"4.0 "," the United States "," February 26, 2023",Size: 10Color: White,Verified Purchase,Good for costume but it is cream and not a true white.  Runs big all over.,3
Lillith,"Well made, great for work or cosplay",https://www.amazon.com/gp/customer-reviews/R17XWZQ0D36MRN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," February 23, 2023",Size: 4Color: Black,Verified Purchase,"I wear this both as a work shirt and for cosplay. It's well made and has a beautiful vintage look I adore. Bought the smallest size, which is perfect for my petite size.",
KK,"A little too dressy for work, but I like it",https://www.amazon.com/gp/customer-reviews/R349P08GYGJIIG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," February 11, 2023",Size: 8Color: White,Verified Purchase,"I'm 5'7"", 130 lbs.  Medium fits perfectly.  I thought I could wear it for work, but it is a bit too dressy for work.  I like the design, so I would have to find a matching bottom for special occasions.",
yamara gomide moreto,Cute but poor,https://www.amazon.com/gp/customer-reviews/R1BCXRCM9UCLZN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"3.0 "," the United States "," February 10, 2023",Size: 2Color: White,Verified Purchase,In the first wash it was already damaged,
