评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Michael Lang,Lasted a few months,https://www.amazon.com/gp/customer-reviews/R3A2PGTANWNJNY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0C784KSY1,"3.0 "," the United States "," December 10, 2024",Color: WhiteSize: One Size,Verified Purchase,The strap broke off about three months into use,
Amazon Customer,Shoulder bag,https://www.amazon.com/gp/customer-reviews/R2IZ86G6FRJ3HX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0C784KSY1,"5.0 "," the United States "," December 2, 2024",Color: BlackSize: One Size,Verified Purchase,"Love the dimple everyday use of this bag, able to fit lots of items in it",
Nana Here,This satchel is perfect,https://www.amazon.com/gp/customer-reviews/R2KHY9GVBSI43X/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0C784KSY1,"5.0 "," the United States "," October 30, 2024",Color: WhiteSize: One Size,Verified Purchase,Very soft and cleans up nice. My granddaughter loves it!,
A name,Pocket,https://www.amazon.com/gp/customer-reviews/R2HFC7PX70PZ4V/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0C784KSY1,"1.0 "," the United States "," October 25, 2024",Color: BlackSize: One Size,Verified Purchase,The pocket by the star is missing a zipper therefore the pocket is unable to be opened. I will state that the side pockets will rip is a bottle like a Stanley is put in that pocket.,
Mollie,My daughter loves it,https://www.amazon.com/gp/customer-reviews/R311X48AVLSWMM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0C784KSY1,"5.0 "," the United States "," September 4, 2024",Color: BlackSize: One Size,Verified Purchase,My daughter is using thus as a back pack for school. It's big enough ti fit her Chromebook in and her binder.,
Amazon Customer,Awesome bag,https://www.amazon.com/gp/customer-reviews/R3UZ5F0TGL5HVW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0C784KSY1,"5.0 "," the United States "," July 14, 2024",Color: BlackSize: One Size,Verified Purchase,"This bag is sturdy, a nice size, not to large. Great with your black and white Allstars.",
Katelyn Merritt,Broken elastic,https://www.amazon.com/gp/customer-reviews/R2DBL8PP6O1X56/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0C784KSY1,"3.0 "," the United States "," June 17, 2024",Color: BlackSize: One Size,Verified Purchase,I thought it was a great bag at first. Very spacious and seems sturdy for my iPad. But one of the elastics on the side already broke and it kind is annoying to hold with all the extra strings and stuff. Might just use it as a beach bag.,
Cathy Curtis,Don’t recommend.,https://www.amazon.com/gp/customer-reviews/RDOV4KGA7JZT7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0C784KSY1,"1.0 "," the United States "," April 25, 2024",Color: BlackSize: One Size,Verified Purchase,"Its a good size, but very cheaply made. It came with marks all over it and a few nicks i couldnt just wash off. Not happy with this product :(",
StephanieW,Didn't arrive before birthday,https://www.amazon.com/gp/customer-reviews/R3JS7L4VQLXV3V/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0C784KSY1,"3.0 "," the United States "," April 3, 2024",Color: KhakiSize: One Size,Verified Purchase,"Arrived 2-3 weeks after her bday, she liked it",
Lyndsay D.,Fun while it lasted.,https://www.amazon.com/gp/customer-reviews/R3P6JDD9AWZJD9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0C784KSY1,"3.0 "," the United States "," March 9, 2024",Color: BlackSize: One Size,Verified Purchase,"My daughter loves this bag to carry her high school items in.  I have noticed that we are not going to make it a full school year with this bag because the seems are already coming apart.  For the price, I suppose it was a good value but I will have to be on the look out for a new bag come next school year.",
Pr Swiss,Great price,https://www.amazon.com/gp/customer-reviews/R2BRBJ2D9V7870/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0C784KSY1,"4.0 "," the United States "," March 6, 2024",Color: WhiteSize: One Size,Verified Purchase,A fashion store was selling this bag for twice the amount on amazon. Maybe the material is a bit different but it’s still a deal and super cute. Spacious interior with elastic tie closure. Comes with a key chain.,
Yessika,cute and decently sized,https://www.amazon.com/gp/customer-reviews/R2XIEH8XT2AGWE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0C784KSY1,"5.0 "," the United States "," February 19, 2024",Color: BlackSize: One Size,Verified Purchase,i bought it for the asthetic BUT feel it could be a cute work bag. plenty of room and compact. love it.,
Zeep,Great quality,https://www.amazon.com/gp/customer-reviews/RFDOUQG5DSDVM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0C784KSY1,"5.0 "," the United States "," February 7, 2024",Color: WhiteSize: One Size,Verified Purchase,"I put a ton of stuff in it and it holds up, the strap is adjustable, its just the right size, its perfecf",
Athena103181,So cute!,https://www.amazon.com/gp/customer-reviews/R2DFTWCMEW2Q7R/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0C784KSY1,"5.0 "," the United States "," December 10, 2023",Color: BlackSize: One Size,Verified Purchase,"There is so many pockets I can’t believe it. The keychains, adorable, I love the star, and it’s the best size. I am so thrilled with my purse.!!!😄",
Amazon Customer,Lindo,https://www.amazon.com/gp/customer-reviews/RN8DKZTQ4685M/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0C784KSY1,"5.0 "," the United States "," October 24, 2023",Color: WhiteSize: One Size,Verified Purchase,Muy bueno,
AL,,https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hMmWYnfnKzaLRHdtbdSU1BnImDlNKvAqrjgIfb2tpD8NAAAAAGebCrYAAAAB&reviewId=R1G90H1IE78UT0,"5.0 "," Singapore "," November 25, 2024",Color: WhiteSize: One Size,Verified Purchase,The bag is good size and material is lightweight. I like that there are side pockets inside and outside pockets for bottles. Better if colour is not black inside so easier to look for things. Overall good buy and happy!,
