评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Too small,Beautiful coat,https://www.amazon.com/gp/customer-reviews/R2IM4AF57IPTZI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJ7T4HB8,"3.0 "," the United States "," December 26, 2024",Size: X-LargeColor: Blue,Verified Purchase,"Beautiful but it's too small, weird because I'm an XL and that's what's I ordered. Over all comfy and pretty coat",2
Cynthia Abbott,Nice.,https://www.amazon.com/gp/customer-reviews/R6ILIGNOPDC2R/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJ7T4HB8,"5.0 "," the United States "," December 26, 2024",Size: LargeColor: Black,Verified Purchase,It was okay.,
Amazon Customer,Waste of Money!,https://www.amazon.com/gp/customer-reviews/R3WU0BY0S3ACB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJ7T4HB8,"1.0 "," the United States "," December 25, 2024",Size: LargeColor: Black,Verified Purchase,"Got the jacket for my daughter and when she tried it on, she couldn't get her left arm all the way through. Because the inside sleeve was twisted. Poor quality jacket in the making and I just wasted my money!!!",
wendy shiller,NOTHING LIKE THE PICTURE!!!!,https://www.amazon.com/gp/customer-reviews/R1FHPLYZ75MVYJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJ7T4HB8,"1.0 "," the United States "," December 20, 2024",Size: MediumColor: Black,Verified Purchase,There wasn’t fur inside it was Sherpa material. It’s not oversized like shown as well!!!,
Very good quality for the price! I have a Great Dane and she loved it!,Perfect fit!,https://www.amazon.com/gp/customer-reviews/R3UNBIU82APRM5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJ7T4HB8,"4.0 "," the United States "," December 19, 2024",Size: MediumColor: Blue,Verified Purchase,"My daughter fell in love with the look in the picture so we ordered it, she wanted a baggy look, we got a medium since she’s tiny and she loves it! The only thing for me is the grey seems a bit on the blue side but that didn’t matter to her at all! It came properly boxed so no crazy wrinkles either. Very cozy and comfy and the pockets were just right!",2
Laila,"Bad Quality, Not like the pictures",https://www.amazon.com/gp/customer-reviews/R1YQTIS2H8MPP2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJ7T4HB8,"1.0 "," the United States "," December 14, 2024",Size: MediumColor: Black,Verified Purchase,It got here and was a different bad quality material and the size was a lot smaller than I expected. Definitely not worth the price.,
Beth Sampias,All of it,https://www.amazon.com/gp/customer-reviews/R5QX8LP6CJ6VG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJ7T4HB8,"1.0 "," the United States "," December 12, 2024",Size: LargeColor: Black,Verified Purchase,"I got the xl so it would be baggy,… it was NOT baggy it was tight. It looks okay ig…it’s not great material it’s not soft fuzzy.. it’s like a north face jacket washed 7 times. But the only correct listing is it’s black… only thing you can count on these days to be honest😂😂",
Alexious,Cute and cozy,https://www.amazon.com/gp/customer-reviews/R2Z7V7U6EJN7PO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJ7T4HB8,"4.0 "," the United States "," December 4, 2024",Size: LargeColor: Black,Verified Purchase,"Is super soft, fits great, could be fluffier bc it’s not like pictured but still cute and cozy.",
Asher,DONT WASTE YOUR $$,https://www.amazon.com/gp/customer-reviews/R1RGT7S26055LO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJ7T4HB8,"1.0 "," the United States "," December 3, 2024",Size: X-LargeColor: Black,Verified Purchase,"This was a such a disappointing product. It is not the same material as the photo shows, size is way smaller, and overall just totally different quality than shown and described.",7
Kindle Customer,Not What I was Expecting,https://www.amazon.com/gp/customer-reviews/R3A768B37LVGI8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJ7T4HB8,"2.0 "," the United States "," November 30, 2024",Size: XX-LargeColor: Black,Verified Purchase,"The fabric isn't what I was expecting. The inside is fleece and the outside is an almost raincoat (?) texture. I thought that it would be more soft inside and that the outside was more like a cloth, so the material isn't what I was expecting. I normally wear a Large, but I looked at the sizing chart and ordered a XXL. It still fit like it was a fitted jacket rather than the baggy look I measured for. Giving it 2 stars because it is, in fact, a black reversible jacket, but it isn't what I was expecting and definitely not what I paid almost $50 for. I will be returning it.",5
renee macdonald,nice jacket,https://www.amazon.com/gp/customer-reviews/R124A46DDDPTQL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJ7T4HB8,"5.0 "," the United States "," November 22, 2024",Size: LargeColor: Black,Verified Purchase,"Ordered one for granddaughter, then had to order another for the other granddaughter. they both like it so well",2
Mariola CINCIO,Great,https://www.amazon.com/gp/customer-reviews/R1UT0DYUAZAQM6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJ7T4HB8,"5.0 "," the United States "," November 12, 2024",Size: MediumColor: Blue,Verified Purchase,Great,
chas,Not As Pictured!,https://www.amazon.com/gp/customer-reviews/RRCY95KTKIUX7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJ7T4HB8,"1.0 "," the United States "," November 9, 2024",Size: LargeColor: Black,Verified Purchase,"The description for this item is confusing- how can something be sherpa fleece and fur? We chose to purchase this because the photos clearly show one side to be fur, so that it should be reversible. The jacket is most certainly not fur on one side, but rather a thin ""sherpa"" fleece, so it is not the pretty reversible jacket pictured. The fit is okay, but this is not at all what we expected. We are very disappointed. This is one of the most misleading products we've ever purchased on Amazon. The product description/pictures need to be corrected immediately!",5
